code,name,industry,industry_type,asof_date,source,fetch_time
002156,通富微电,C39计算机、通信和其他电子设备制造业,证监会行业分类,2026-07-06,baostock,2026-07-07T12:06:44+08:00
002371,北方华创,C35专用设备制造业,证监会行业分类,2026-07-06,baostock,2026-07-07T12:06:45+08:00
002916,深南电路,C39计算机、通信和其他电子设备制造业,证监会行业分类,2026-07-06,baostock,2026-07-07T12:06:45+08:00
002938,鹏鼎控股,C39计算机、通信和其他电子设备制造业,证监会行业分类,2026-07-06,baostock,2026-07-07T12:06:45+08:00
300236,上海新阳,C39计算机、通信和其他电子设备制造业,证监会行业分类,2026-07-06,baostock,2026-07-07T12:06:46+08:00
300308,中际旭创,C39计算机、通信和其他电子设备制造业,证监会行业分类,2026-07-06,baostock,2026-07-07T12:06:46+08:00
300394,天孚通信,C39计算机、通信和其他电子设备制造业,证监会行业分类,2026-07-06,baostock,2026-07-07T12:06:46+08:00
300502,新易盛,C39计算机、通信和其他电子设备制造业,证监会行业分类,2026-07-06,baostock,2026-07-07T12:06:47+08:00
300604,长川科技,C35专用设备制造业,证监会行业分类,2026-07-06,baostock,2026-07-07T12:06:47+08:00
600584,长电科技,C39计算机、通信和其他电子设备制造业,证监会行业分类,2026-07-06,baostock,2026-07-07T12:06:48+08:00
600703,三安光电,C39计算机、通信和其他电子设备制造业,证监会行业分类,2026-07-06,baostock,2026-07-07T12:06:48+08:00
688072,拓荆科技,C35专用设备制造业,证监会行业分类,2026-07-06,baostock,2026-07-07T12:06:52+08:00
688120,华海清科,C35专用设备制造业,证监会行业分类,2026-07-06,baostock,2026-07-07T12:06:52+08:00
688126,沪硅产业,C39计算机、通信和其他电子设备制造业,证监会行业分类,2026-07-06,baostock,2026-07-07T12:06:53+08:00
688200,华峰测控,C35专用设备制造业,证监会行业分类,2026-07-06,baostock,2026-07-07T12:06:54+08:00
688256,寒武纪,I65软件和信息技术服务业,证监会行业分类,2026-07-06,baostock,2026-07-07T12:06:54+08:00
688313,仕佳光子,C39计算机、通信和其他电子设备制造业,证监会行业分类,2026-07-06,baostock,2026-07-07T12:06:54+08:00
688525,佰维存储,C39计算机、通信和其他电子设备制造业,证监会行业分类,2026-07-06,baostock,2026-07-07T12:06:55+08:00
688981,中芯国际,C39计算机、通信和其他电子设备制造业,证监会行业分类,2026-07-06,baostock,2026-07-07T12:06:55+08:00
